Qual a sua área?,Você está empregado na área de tecnologia?,O que está buscando atualmente como emprego?,Está aberto a oportunidades de?,Modalidade de contratação:,Faixa de salário desejada?,Onde  procura emprego?,Já participou de entrevistas?,Recebe retorno das entrevistas?,Qual a sua maior dificuldade de procurar emprego?,Como faz para se preparar para entrevistas?,"Já fez algum mentoria de carreira , seja ela de empregabilidade, parte do bootcamp, individual, com algum coach?",Qual a sua formação?,Onde conseguiu o contato do seu emprego atual?,Media de entrevistas até conseguir a vaga?,De quem foi a iniciativa de abordagem?,Forma de contratação?,Como foi o processo de entrevista?,Você teve onboarding na empresa?,Você tem um PDI para seguir na empresa?,Faixa salarial?,"Aceita disponibilizar meus dados de forma anônima para a pesquisa ""Estado do Junior Tech de 2023"", não vamos disponibilizar nenhum dado de forma individual, apenas compilados de informações para comunidade."
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Instagram / Facebook",Sim,"Sim, com feedback automatico","Exigem senioriedade alta para cargos de Junior.
Geralmente é preciso comprovar experiência mínima de 1 a 2 anos para JUNIOR.. ! ABSURDO!","Pesquiso sobre a empresa, sobre a vaga.
Relembro meus skilss e preparo uma apresentação com script de bullet point na hora da entrevista.",Não,,,,,,,,,,sim
UX ( e suas variações),Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,Não,"Poucas vagas de UX como Junior, a maioria exige experiência anterior na area, o que dificulta quem está em transição de carreira. Candidaturas com feedback robotizado ou nenhum.
O mercado está saturado, são muitos profissionais pra poucas vagas, as equipes estão mais enxutas, mesmo estando aberto a novos desafios, há poucas oportunidades.",Ensaio,Não,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00",Linkedin,Sim,"Sim, com feedback automatico",Experiência ,Pesquisando sobre a empresa ,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking",Sim,"Sim, com feedback automatico",Vejo que as empresas cobram muito o nível superior. Por isso decidi que entrarei na faculdade ainda esse ano.,"Vejo muitos vídeos sobre as principais perguntas que os entrevistadores fazem, treino respostas para perguntas técnicas e estudo a empresa.",Sim,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico","Acredito que existem muitas vagas, principalmente no Linkedin, porém a maioria não retorna ou se retorna é com feedback automático. Tenho projetos no meu Github e venho estudando a mais de 1 ano, mas até agora nunca fui chamado para entrevistas.",,Sim,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Novo emprego (Demitido ainda em cargo de Junior),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00",Linkedin,Sim,"Sim, com feedback automatico",Falta de vagas para iOS nativo (Swift),Já fiz tanta entrevista que não tenho dificuldades para a mesma. Geralmente dou uma olhada no site da empresa e seus produtos para poder ter curiosidade e perguntas a fazer.,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",,Treinamento e estudo ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Não,Não,"Encontrar vaga não parece ser um problema, quando se acha facilmente no google, porem parecem ser vagas mortas/fantasma, no sentido que você aplica mas não tem retorno algum.",Com experiencias de entrevistas passadas.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Vagas exigindo ate para estagio,Tento fazer uma busca sobre a empresa antes,Não,,,,,,,,,,sim
DevOps,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,"Quase nenhuma vaga para júnior. Somente pleno e, principalmente, sênior.",Vídeos no YouTube e livros sobre entrevistas.,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Curso Tecnico",Networking / Amigos,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"entre 1000,00 e 2000,00",sim
No Code / Low Code,Sim,,,,,,,,,,,"Autodidata, Cursos livres avulsos (estilo Udemy)",Linkedin,menos de 5,Fui abordado e fiz o processo seletivo,CLT,Tranquilo,Sim,Sim,"mais de 4000,00",sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",Oportunidade de entrevistas ,"Busco conhecer a empresa, e me dedicar as respostas
",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",Qualificações demais para um vaga de aprendizado,"Estudo 8 horas por dia. No começo eu fica ansioso e preocupado com a entrevista, hoje eu já não me importo mais, continuo estudando e sei que eles querem um profissional que já tenha qualificações para um cargo no qual é para aprendizado.",Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio",Não,Não,Medo dos requisitos das vagas,Ainda não passei por uma ksksksk,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Não,Não,falta de vagas,reviso conteúdos sobre a linguagem,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Sim,,,,,,,,,,,Faculdade,Linkedin,entre 10 e 30,Fui abordado e fiz o processo seletivo,Estagio,Tranquilo,Sim,Não,"entre 1000,00 e 2000,00",sim
Desenvolvimento Backend,Sim,,,,,,,,,,,"Faculdade, Autodidata, Cursos livres avulsos (estilo Udemy)",Indeed,menos de 5,Fui abordado e fiz o processo seletivo,PJ,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Desenvolvimento Frontend,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy), Curso Tecnico",Linkedin,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Não,Não,"entre 1000,00 e 2000,00",sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking",Não,Não,Ser chamado para entrevista e mostrar o meu potencial,"Vejo videos pelas redes sociais, treino com amigos que ja passaram por entrevistas",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee","CLT, PJ, Autonomo / Freelancer","Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Não,"Sim, com feedback automatico",,,Não,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)",Estagio,"CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Falta de experiência,"Estudo, faço cursos de soft skills",Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,,,Não,,,,,,,,,,sim
UX ( e suas variações),Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer",entre 4000 e 6000,"Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback automatico",nao tenho experiencia,"pesquiso sobre a empresa, sobre o cargo, arrumo meu curriculo pra se encaixar na vaga, procuro estudar o que nao conheço muito...",Não,,,,,,,,,,sim
Desenvolvimento Mobile,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa",Sim,"Sim, com feedback automatico",A experiência pedida em vagas de junior,,Não,,,,,,,,,,sim
"Dados - Ciencia, Analise, BI ou Engenharia",Não,Novo emprego (Demitido ainda em cargo de Junior),"Trainee, Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",,Assisto vídeo-aula e leio artigos,Sim,,,,,,,,,,sim
QA - Qualidade de Software,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"Abaixo de R$ 1000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,"estágios que pedem experiencia, difícil ter experiencia se ninguém que dar a primeira oportunidade ",procuro videos no youtube sobreo o assunto e pratico para me acalmar na hora da entrevista ,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Novo emprego (Demitido ainda em cargo de Junior),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Não consigo encontrar vagas.,"Pesquiso sobre a empresa, as tecnologias necessárias para a vaga e a proposta salarial.",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00",Linkedin,Não,Não,Pedem muitas tecnologias para vaga,Estudo e faço simulado de entrevista ,Sim,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Junior (Associado, Assistente)",CLT,"entre 2000,00 e 3000,00","Linkedin, Site de vagas de emprego/estagio",Sim,Não,Maioria pede experiência e eu não tenho,Pratico em casa oque vou falar ,Não,,,,,,,,,,sim
DevOps,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,Não dão oportunidade para quem não tem experiência sendo que preciso somente de uma oportunidade.,Pesquiso sobre a empresa em todos os aspectos e procuro fica super informado,Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,"Primeiro Emprego, Transição de carreira (para profissão tech que escolheu)","Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Instagram / Facebook",Não,"Sim, com feedback automatico",Experiência,"Pesquiso sobre a vaga em questão, sobre a empresa que a oferece, e repasso para mim mesma meus pontos fortes e que vão de acordo com a cultura da empresa.",Sim,,,,,,,,,,sim
Desenvolvimento Backend,Não,Primeiro Emprego,"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ","entre 2000,00 e 3000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,"Sim, com feedback automatico",Experiencia na carteira que eu nao tenho. ,"Estudar a empresa que me ligou, saber as tecnolocias o maximo de informacao possivel. ",Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Junior (Associado, Assistente)",CLT,"entre R$ 1000,00 e R$ 2000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Sim,"Sim, com feedback",Passar nas entrevistas,Canais especializados no assunto no youtube,Não,,,,,,,,,,sim
Desenvolvimento Frontend,Não,Primeiro Emprego,"Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00",Linkedin,Sim,"Sim, com feedback automatico",Excesso de etapas na fase de pré-seleção e testes sem sentido em plataformas como gupy,"Estudo a empresa, cultura organizacional. Se ela pede stacks específicas de tecnologias das quais não tivemuito contato procuro estudar elas antes mesmo de aplicar para vaga e ter um conhecimento sólido na hora de um teste técnico/entrevista. ",Sim,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00",Linkedin,Não,Não,,Estudo sobre a empresa e pesquiso perguntas típicas para o cargo para preparar as minhas respostas. Tenho respostas também para perguntas sobre soft skills.,Sim,,,,,,,,,,sim
Produtos,Não,"Transição de carreira (para profissão tech que escolheu), Novo emprego (Demitido ainda em cargo de Junior)","Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","a partir de 3000,00","Linkedin, Amigos / Networking",Não,,Passar no Gupy. Meu currículo normalmente é rejeitado de imediato.,No momento não fiz entrevistas ainda,Sim,,,,,,,,,,sim
Produtos,Sim,,,,,,,,,,,Faculdade,Linkedin,entre 5 e 10,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 2000,00 e 3000,00",sim
Produtos,Sim,,,,,,,,,,,Faculdade,Networking / Amigos,menos de 5,Busquei ativamente um a vaga,CLT,Confuso,Sim,Sim,"entre 2000,00 e 3000,00",sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Junior (Associado, Assistente)",CLT,"a partir de 3000,00","Linkedin, Google / Pesquisa, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico","Estruturar um: Currículo atrativo, linkedin atrativo",Leio sobre os requisitos e crio uma adaptação as minhas funções que se adaptam a vaga.,Não,,,,,,,,,,sim
Produtos,Sim,,,,,,,,,,,"Faculdade, Cursos livres avulsos (estilo Udemy)",Networking / Amigos,entre 10 e 30,Busquei ativamente um a vaga,CLT,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Produtos,Não,Recolocação,"Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio",Sim,"Sim, com feedback automatico",Ter minha candidatura avaliada ,"Estudo a empresa, os requisitos da vaga, pra relacionar com minha experiência.",Não,,,,,,,,,,sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Trainee, Junior (Associado, Assistente)","CLT, PJ","a partir de 3000,00","Linkedin, Amigos / Networking, Site de vagas de emprego/estagio",Não,Não,,,Sim,,,,,,,,,,sim
Produtos,Sim,,,,,,,,,,,Faculdade,Bootcamp,menos de 5,Busquei ativamente um a vaga,Estagio,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Produtos,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Amigos / Networking",Não,Não,Falta de experiência ,Sigo estudando os cursos da PM3,Não,,,,,,,,,,sim
Produtos,Sim,,,,,,,,,,,Cursos livres avulsos (estilo Udemy),Processo seletivo,entre 10 e 30,Busquei ativamente um a vaga,PJ,Cansativo,Sim,Não,"entre 3000,00 e 4000",sim
Produtos,Sim,,,,,,,,,,,"Faculdade, Bootcamp, Curso Tecnico",Linkedin,entre 5 e 10,Fui abordado e fiz o processo seletivo,PJ,Tranquilo,Sim,Não,"entre 3000,00 e 4000",sim
Desenvolvimento Backend,Não,Transição de carreira (para profissão tech que escolheu),"Estagio, Trainee, Junior (Associado, Assistente)","CLT, PJ, Autonomo / Freelancer","entre R$ 1000,00 e R$ 2000,00","Linkedin, Google / Pesquisa, Grupos Zap/Telegram / Discord, Amigos / Networking, Site de vagas de emprego/estagio, Instagram / Facebook",Não,Não,"Em procurar não tenho dificuldades, porém sinto que para Junior há pouca oportunidade e na maioria das vezes o perfil esperado não é de um Junior e sim de um pleno.","Avalio a vaga, a empresa e preparo algumas perguntas, bem como algumas informações que acredito ser interessante repassar para o recrutador(a).",Sim,,,,,,,,,,sim
